NLOC,CCN,token,PARAM,length,location,file,function,long_name,start,end
6,8,72,1,6,"ottr::DateFilter::includes@5-10@src/model.cpp","src/model.cpp","ottr::DateFilter::includes","ottr::DateFilter::includes( const Date & d) const",5,10
3,1,14,0,3,"ottr::World::current_day@12-14@src/model.cpp","src/model.cpp","ottr::World::current_day","ottr::World::current_day()",12,14
3,1,21,1,4,"ottr::CalculationOptions::validate@5-8@src/options.cpp","src/options.cpp","ottr::CalculationOptions::validate","ottr::CalculationOptions::validate( [ [ maybe_unused ] ] std :: string & error_message) const",5,8
18,4,90,3,18,"ottr::CalculationOptions::parse_rounding@10-27@src/options.cpp","src/options.cpp","ottr::CalculationOptions::parse_rounding","ottr::CalculationOptions::parse_rounding( const std :: string & s , RoundingMode & out , std :: string & error_message)",10,27
18,4,90,3,18,"ottr::CalculationOptions::parse_aggregation@29-46@src/options.cpp","src/options.cpp","ottr::CalculationOptions::parse_aggregation","ottr::CalculationOptions::parse_aggregation( const std :: string & s , AggregationMode & out , std :: string & error_message)",29,46
40,16,316,1,43,"ottr::tokenize_line@12-54@src/parser.cpp","src/parser.cpp","ottr::tokenize_line","ottr::tokenize_line( const std :: string & line)",12,54
6,1,60,3,6,"ottr::ParserLogger::log_debug@56-61@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::log_debug","ottr::ParserLogger::log_debug( const std :: string & path , const int line_no , const std :: string & msg)",56,61
6,1,60,3,6,"ottr::ParserLogger::log_error@62-67@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::log_error","ottr::ParserLogger::log_error( const std :: string & path , const int line_no , const std :: string & msg)",62,67
3,1,10,0,3,"ottr::ParserLogger::get_errors@69-71@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::get_errors","ottr::ParserLogger::get_errors()",69,71
3,1,10,0,3,"ottr::ParserLogger::get_debug@73-75@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::get_debug","ottr::ParserLogger::get_debug()",73,75
3,1,15,0,3,"ottr::ParserLogger::empty_err@77-79@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::empty_err","ottr::ParserLogger::empty_err() const",77,79
12,3,76,1,12,"ottr::ParserLogger::find_err@81-92@src/parser.cpp","src/parser.cpp","ottr::ParserLogger::find_err","ottr::ParserLogger::find_err( const std :: string & q) const",81,92
41,8,356,4,51,"ottr::parse_istream@94-144@src/parser.cpp","src/parser.cpp","ottr::parse_istream","ottr::parse_istream( std :: istream & in , const std :: string & source_name , World & world , ParserLogger & log)",94,144
8,2,62,3,8,"ottr::parse_file@146-153@src/parser.cpp","src/parser.cpp","ottr::parse_file","ottr::parse_file( const std :: string & path , World & world , ParserLogger & log)",146,153
9,1,37,3,9,"ottr::DirectiveParser::DirectiveParser@155-163@src/parser.cpp","src/parser.cpp","ottr::DirectiveParser::DirectiveParser","ottr::DirectiveParser::DirectiveParser( const std :: string & source_name , struct World & world , ParserLogger & log)",155,163
5,1,31,3,5,"ottr::ChargeDirectiveParser::ChargeDirectiveParser@165-169@src/parser.cpp","src/parser.cpp","ottr::ChargeDirectiveParser::ChargeDirectiveParser","ottr::ChargeDirectiveParser::ChargeDirectiveParser( const std :: string & source_name , struct World & world , ParserLogger & log)",165,169
5,1,31,3,5,"ottr::TaskDirectiveParser::TaskDirectiveParser@171-175@src/parser.cpp","src/parser.cpp","ottr::TaskDirectiveParser::TaskDirectiveParser","ottr::TaskDirectiveParser::TaskDirectiveParser( const std :: string & source_name , struct World & world , ParserLogger & log)",171,175
5,1,31,3,5,"ottr::WeightDirectiveParser::WeightDirectiveParser@177-181@src/parser.cpp","src/parser.cpp","ottr::WeightDirectiveParser::WeightDirectiveParser","ottr::WeightDirectiveParser::WeightDirectiveParser( const std :: string & source_name , struct World & world , ParserLogger & log)",177,181
5,1,31,3,5,"ottr::DayDirectiveParser::DayDirectiveParser@183-187@src/parser.cpp","src/parser.cpp","ottr::DayDirectiveParser::DayDirectiveParser","ottr::DayDirectiveParser::DayDirectiveParser( const std :: string & source_name , struct World & world , ParserLogger & log)",183,187
